"address","title","category","city","google_map_link","workhours","latitude","longitude","phone","avg_rating","rating_count","state","website"
"61 2100 S, South Salt Lake, UT 84115, United States","168 Auto Repair","Auto repair shop","South Salt Lake","https://www.google.com/maps/place/168+Auto+Repair/data=!4m7!3m6!1s0x87528ad0238bcf4b:0xadb3d123831c79ef!8m2!3d40.7251625!4d-111.8930885!16s%2Fg%2F1261_p4t8!19sChIJS8-LI9CKUocR73kcgyPRs60?authuser=0&hl=en&rclk=1","Tuesday, 9:30 am to 6 pm; Wednesday, 9:30 am to 6 pm; Thursday, 9:30 am to 6 pm; Friday, 9:30 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 9:30 am to 6 pm. Hide open hours for the week","40.7251625","-111.8930885","+1 801-906-8168","4.9","190","Utah",
"5718 W 3500 S #156, West Valley City, UT 84128, United States","Superior Auto Repair","Auto repair shop","West Valley City","https://www.google.com/maps/place/Superior+Auto+Repair/data=!4m7!3m6!1s0x87528af7bd64d9bb:0x2fea32eb2b633153!8m2!3d40.6989019!4d-112.027657!16s%2Fg%2F1td0g_3b!19sChIJu9lkvfeKUocRUzFjK-sy6i8?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5 pm; Wednesday, 8 am to 5 pm; Thursday, 8 am to 5 pm; Friday, 8 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5 pm. Hide open hours for the week","40.6989019","-112.027657","+1 801-486-0905","4.8","83","Utah",
"3470 S 1940 W, West Valley City, UT 84119, United States","West Valley Auto Repair","Auto repair shop","West Valley City","https://www.google.com/maps/place/West+Valley+Auto+Repair/data=!4m7!3m6!1s0x87528b645031c7eb:0xda8aa352226feb50!8m2!3d40.6971695!4d-111.9437042!16s%2Fg%2F1wnf1jdn!19sChIJ68cxUGSLUocRUOtvIlKjito?authuser=0&hl=en&rclk=1","Tuesday, 8:30 am to 5:30 pm; Wednesday, 8:30 am to 5:30 pm; Thursday, 8:30 am to 5:30 pm; Friday, 8:30 am to 5:30 pm; Saturday, 8:30 am to 1 pm; Sunday, Closed; Monday, 8:30 am to 5:30 pm. Hide open hours for the week","40.6971695","-111.9437042","+1 801-972-9015","4.8","177","Utah",
"9303 Sunset Dr, Eagle Mountain, UT 84005, United States","Jeppson Automotive Repair","Auto repair shop","Eagle Mountain","https://www.google.com/maps/place/Jeppson+Automotive+Repair/data=!4m7!3m6!1s0x874d7b64f618c8f5:0xfa4080520d4ed78!8m2!3d40.3807885!4d-111.9948299!16s%2Fg%2F11c3k54_fs!19sChIJ9cgY9mR7TYcReO3UIAUIpA8?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5 pm; Wednesday, 8 am to 5 pm; Thursday, 8 am to 5 pm; Friday, 8 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5 pm. Hide open hours for the week","40.3807885","-111.9948299","+1 801-879-1254","4.8","323","Utah","jeppsonauto.com"
"668 S 500 E St, American Fork, UT 84003, United States","Clegg Auto American Fork","Auto repair shop","American Fork","https://www.google.com/maps/place/Clegg+Auto+American+Fork/data=!4m7!3m6!1s0x874d83de033f9a33:0x901c1d6f9ca5fe12!8m2!3d40.3632911!4d-111.7862516!16s%2Fg%2F1hd_vzxx_!19sChIJM5o_A96DTYcREv6lnG8dHJA?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 5:30 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week",,"-111.7862516","+1 801-669-8789","4.8","1167","Utah","cleggauto.com"
"1401 W 400 S, Orem, UT 84058, United States","Westside Auto Repair","Auto repair shop","Orem","https://www.google.com/maps/place/Westside+Auto+Repair/data=!4m7!3m6!1s0x874d84ea9e8afe47:0x4da27e9eabef6e08!8m2!3d40.2898629!4d-111.7292448!16s%2Fg%2F1tkkvbrz!19sChIJR_6KnuqETYcRCG7vq55-ok0?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week",,"-111.7292448","+1 801-229-9076","4.7","115","Utah",
"1638 3970 S, Millcreek, UT 84124, United States","Hi-Tech Auto Repair","Auto repair shop","Millcreek","https://www.google.com/maps/place/Hi-Tech+Auto+Repair/data=!4m7!3m6!1s0x875261dd51526c4f:0xb1632463e7bd616a!8m2!3d40.6851035!4d-111.8453512!16s%2Fg%2F1ty74r6l!19sChIJT2xSUd1hUocRamG952MkY7E?authuser=0&hl=en&rclk=1","Tuesday, 9 am to 5 pm; Wednesday, 9 am to 5 pm; Thursday, 9 am to 5 pm; Friday, 9 am to 5 pm; Saturday, 9 am to 12 pm; Sunday, Closed; Monday, 9 am to 5 pm. Hide open hours for the week",,"-111.8453512","+1 801-272-6171","4.8","96","Utah","hi-tech-autorepair.com"
"155 S Pueblo St W, Salt Lake City, UT 84104, United States","J&S Auto Service","Auto repair shop","Salt Lake City","https://www.google.com/maps/place/J%26S+Auto+Service/data=!4m7!3m6!1s0x8752f461bae25ae7:0x1c243231ed9bda9b!8m2!3d40.7659078!4d-111.9319152!16s%2Fg%2F1tzgk3bx!19sChIJ51riumH0UocRm9qb7TEyJBw?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, 8 am to 6 pm; Saturday, 8 am to 3 pm; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week",,"-111.9319152","+1 801-364-9055","4.9","189","Utah",
"568 E 12300 S, Draper, UT 84020, United States","Richins Car Service","Auto repair shop","Draper","https://www.google.com/maps/place/Richins+Car+Service/data=!4m7!3m6!1s0x8752876bcc8753b5:0x1542548ec08bceeb!8m2!3d40.5264457!4d-111.8759558!16s%2Fg%2F1wg5yh1h!19sChIJtVOHzGuHUocR686LwI5UQhU?authuser=0&hl=en&rclk=1","Tuesday, 7 am to 5 pm; Wednesday, 7 am to 5 pm; Thursday, 7 am to 5 pm; Friday, 7 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 7 am to 5 pm. Hide open hours for the week",,"-111.8759558","+1 801-571-1111","4.9","1850","Utah","richinscarservice.com"
"10665 S 700 E, Sandy, UT 84070, United States","McNeil's Auto Care","Auto repair shop","Sandy","https://www.google.com/maps/place/McNeil%27s+Auto+Care/data=!4m7!3m6!1s0x875287919bdd6e35:0x72faff3ff24c5634!8m2!3d40.5576255!4d-111.8716343!16s%2Fg%2F1tkvb7fg!19sChIJNW7dm5GHUocRNFZM8j__-nI?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, 8 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week",,"-111.8716343","+1 385-475-4344","4.6","1099","Utah","mcneilsutah.com"
"3575s W Temple #5, South Salt Lake, UT 84115, United States","Timing Auto Repair","Auto repair shop","O'fallon","https://www.google.com/maps/place/Timing+Auto+Repair/data=!4m7!3m6!1s0x87528bb713872b11:0xd8887b6d8dfff0ea!8m2!3d40.6934!4d-111.8937683!16s%2Fg%2F11h7sqcd69!19sChIJESuHE7eLUocR6vD_jW17iNg?authuser=0&hl=en&rclk=1",,,"-111.8937683","+1 801-441-8691","4.9","45","Missouri",
"76 W 500 N, Orem, UT 84057, United States","Absolute Automotive & Accessories","Auto repair shop","Orem","https://www.google.com/maps/place/Absolute+Automotive+%26+Accessories/data=!4m7!3m6!1s0x874d85333ae58e87:0xc58be481e645dfba!8m2!3d40.3066148!4d-111.6975366!16s%2Fg%2F1th0bxyv!19sChIJh47lOjOFTYcRut9F5oHki8U?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5 pm; Wednesday, 8 am to 5 pm; Thursday, 8 am to 5 pm; Friday, 8 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5 pm. Hide open hours for the week","40.3066148","-111.6975366","+1 801-471-0404","4.8","106","Utah","absoluteautoshop.com"
"6767 400 W, Murray, UT 84047, United States","American And Foreign Garage","Auto repair shop","Murray","https://www.google.com/maps/place/American+And+Foreign+Garage/data=!4m7!3m6!1s0x875289a645fc2b61:0xaf34052f42fc01eb!8m2!3d40.6283856!4d-111.9006935!16s%2Fg%2F1tsyknxs!19sChIJYSv8RaaJUocR6wH8Qi8FNK8?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 5:30 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week","40.6283856","-111.9006935","+1 801-261-8903","4.8","53","Utah","americanandforeigngarage.net"
"3434 S Main St, Salt Lake City, UT 84115, United States","Advanced Auto Repair & Emissions","Auto repair shop","South Salt Lake","https://www.google.com/maps/place/Advanced+Auto+Repair+%26+Emissions/data=!4m7!3m6!1s0x87528af799bd7d9f:0xe161ccfcaa60252a!8m2!3d40.6967972!4d-111.891463!16s%2Fg%2F1tgz11v3!19sChIJn329mfeKUocRKiVgqvzMYeE?authuser=0&hl=en&rclk=1","Tuesday, 8:30 am to 7 pm; Wednesday, 8:30 am to 7 pm; Thursday, 8:30 am to 7 pm; Friday, 8:30 am to 7 pm; Saturday, 8:30 am to 7 pm; Sunday, Closed; Monday, 8:30 am to 7 pm. Hide open hours for the week","40.6967972","-111.891463","+1 801-897-1254","4.6","111","Utah","autorepairandemission.com"
"1161 S 300 W, Salt Lake City, UT 84101, United States","Little Garage","Auto repair shop","Salt Lake City","https://www.google.com/maps/place/Little+Garage/data=!4m7!3m6!1s0x8752f5267b3050c7:0xdbc6565e6307def2!8m2!3d40.7437422!4d-111.899384!16s%2Fg%2F1tdzx61y!19sChIJx1Aweyb1UocR8t4HY15Wxts?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week","40.7437422","-111.899384","+1 385-327-7677","4.7","508","Utah","littlegarageslc.com"
"1717 S State St, Salt Lake City, UT 84115, United States","MasterTech Automotive","Auto repair shop","Salt Lake City","https://www.google.com/maps/place/MasterTech+Automotive/data=!4m7!3m6!1s0x87528acc968af783:0x979ba0d864b97550!8m2!3d40.7330508!4d-111.8875061!16s%2Fg%2F1tj7424_!19sChIJg_eKlsyKUocRUHW5ZNigm5c?authuser=0&hl=en&rclk=1","Tuesday, 7:30 am to 5:30 pm; Wednesday, 7:30 am to 5:30 pm; Thursday, 7:30 am to 5:30 pm; Friday, 7:30 am to 5:30 pm; Saturday, Closed; Sunday, Closed; Monday, 7:30 am to 5:30 pm. Hide open hours for the week","40.7330508","-111.8875061","+1 801-485-1212","4.8","154","Utah","mastertechautomotive.com"
"4288 S 4000 W, West Valley City, UT 84120, United States","Bill & Randy's Auto Repair","Auto repair shop","West Valley City","https://www.google.com/maps/place/Bill+%26+Randy%27s+Auto+Repair/data=!4m7!3m6!1s0x87528cf795bf00ef:0x41e5978f5a19233e!8m2!3d40.6774795!4d-111.9869595!16s%2Fg%2F1vnnjwn_!19sChIJ7wC_lfeMUocRPiMZWo-X5UE?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 5:30 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week","40.6774795","-111.9869595","+1 801-969-3391","4.6","202","Utah",
"11717 S 700 E, Draper, UT 84020, United States","Enniss Auto LLC","Auto repair shop","Draper","https://www.google.com/maps/place/Enniss+Auto+LLC/data=!4m7!3m6!1s0x87528770daecf07d:0xed52af96d033e0d!8m2!3d40.5394856!4d-111.8708086!16s%2Fg%2F1tfp2ydd!19sChIJffDs2nCHUocRDT4Dbfkq1Q4?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, Closed; Saturday, Closed; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week","40.5394856","-111.8708086","+1 801-571-2021","4.8","66","Utah",
"662 S 200 W, Salt Lake City, UT 84101, United States","Brigham Street Service","Auto repair shop","Salt Lake City","https://www.google.com/maps/place/Brigham+Street+Service/data=!4m7!3m6!1s0x8752f51922f79841:0xa9647c88c28fed5d!8m2!3d40.7548074!4d-111.8973102!16s%2Fg%2F1tdww518!19sChIJQZj3Ihn1UocRXe2Pwoh8ZKk?authuser=0&hl=en&rclk=1","Tuesday, 7 am to 6 pm; Wednesday, 7 am to 6 pm; Thursday, 7 am to 6 pm; Friday, 7 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 7 am to 6 pm. Hide open hours for the week",,"-111.8973102","+1 801-363-5721","4.9","92","Utah",
"5926 Stratler St, 380 W, Murray, UT 84107, United States","Enginuity Automotive Services, Inc.","Car repair and maintenance service","Murray","https://www.google.com/maps/place/Enginuity+Automotive+Services,+Inc./data=!4m7!3m6!1s0x8752899dab23a93b:0x3b9acf662dc8fdd1!8m2!3d40.6418979!4d-111.9023053!16s%2Fg%2F1th87lxg!19sChIJO6kjq52JUocR0f3ILWbPmjs?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, 8 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week","40.6418979","-111.9023053","+1 801-268-0125","4.8","131","Utah","easutah.com"
"2334 S Main St, Salt Lake City, UT 84115, United States","Red Rock Auto Repair","Auto repair shop","Midvale","https://www.google.com/maps/place/Red+Rock+Auto+Repair/data=!4m7!3m6!1s0x87528adcdc01f795:0x958785362149e6b4!8m2!3d40.7197543!4d-111.8915482!16s%2Fg%2F1thks58b!19sChIJlfcB3NyKUocRtOZJITaFh5U?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, 8 am to 5:30 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week","40.7197543","-111.8915482","+1 801-487-9900","4.6","169","Utah","redrockautorepair.net"
"4651 S 500 W, Murray, UT 84123, United States","AFG Auto Repair","Auto repair shop","Murray","https://www.google.com/maps/place/AFG+Auto+Repair/data=!4m7!3m6!1s0x87528b184d20f41d:0x7e2b94ac1d739517!8m2!3d40.6711544!4d-111.9046886!16s%2Fg%2F11fhngbxdh!19sChIJHfQgTRiLUocRF5VzHayUK34?authuser=0&hl=en&rclk=1","Tuesday, 9:30 am to 6 pm; Wednesday, 9:30 am to 6 pm; Thursday, 9:30 am to 6 pm; Friday, Closed; Saturday, 9:30 am to 5 pm; Sunday, 9:30 am to 3 pm; Monday, 9:30 am to 6 pm. Hide open hours for the week","40.6711544","-111.9046886","+1 801-915-4502","4.7","107","Utah",
"4261 W 5415 S, Kearns, UT 84118, United States","Gines Auto Service","Auto repair shop","Kearns","https://www.google.com/maps/place/Gines+Auto+Service/data=!4m7!3m6!1s0x87528c368d521dd1:0x6b98b148fca9a51b!8m2!3d40.6525146!4d-111.9925256!16s%2Fg%2F1vknpw8v!19sChIJ0R1SjTaMUocRG6Wp_EixmGs?authuser=0&hl=en&rclk=1","Tuesday, 7:30 am to 6 pm; Wednesday, 7:30 am to 6 pm; Thursday, 7:30 am to 6 pm; Friday, 7:30 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 7:30 am to 6 pm. Hide open hours for the week",,"-111.9925256","+1 801-966-6021","4.5","260","Utah","ginesautoservice.com"
"90 N 600 W, Pleasant Grove, UT 84062, United States","4 Seasons Auto Repair","Auto repair shop","Pleasant Grove","https://www.google.com/maps/place/4+Seasons+Auto+Repair/data=!4m7!3m6!1s0x874d85248c182d0d:0xb23f964071d4602!8m2!3d40.3662151!4d-111.7490894!16s%2Fg%2F1tp8_j4n!19sChIJDS0YjCSFTYcRAkYdB2T5Iws?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 4 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week","40.3662151","-111.7490894","+1 801-229-1555","4.7","148","Utah","4seasonsautorepair.com"
"3361 S W Temple St, Salt Lake City, UT 84115, United States","Certified Automotive","Auto repair shop","Salt Lake City","https://www.google.com/maps/place/Certified+Automotive/data=!4m7!3m6!1s0x87528af9e8f593c7:0xc997384c0d15434!8m2!3d40.6984901!4d-111.8937683!16s%2Fg%2F1tgn56fj!19sChIJx5P16PmKUocRNFTRwIRzmQw?authuser=0&hl=en&rclk=1","Tuesday, 7:30 am to 5 pm; Wednesday, 7:30 am to 5 pm; Thursday, 7:30 am to 5 pm; Friday, 7:30 am to 5 pm; Saturday, Closed; Sunday, Closed; Monday, 7:30 am to 5 pm. Hide open hours for the week",,"-111.8937683","+1 801-484-0121","4.8","379","Utah","certifiedauto.info"
"12665 Minuteman Dr #3, Draper, UT 84020, United States","Jake's Auto & Truck Repair","Auto repair shop","Draper","https://www.google.com/maps/place/Jake%27s+Auto+%26+Truck+Repair/data=!4m7!3m6!1s0x87528717d872377d:0xeeb83b7e4656806b!8m2!3d40.520618!4d-111.8903503!16s%2Fg%2F1tks6sym!19sChIJfTdy2BeHUocRa4BWRn47uO4?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 4:30 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week","40.520618","-111.8903503","+1 801-571-4471","4.8","472","Utah","jakes-auto.com"
"4707 S Commerce Dr, Murray, UT 84107, United States","Jeffrey P Davis Automotive","Auto repair shop","Murray","https://www.google.com/maps/place/Jeffrey+P+Davis+Automotive/data=!4m7!3m6!1s0x87528a34002c80c3:0xcc18897565686a9f!8m2!3d40.6695353!4d-111.8984875!16s%2Fg%2F1pp2tyvf0!19sChIJw4AsADSKUocRn2poZXWJGMw?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 5:30 pm; Wednesday, 8 am to 5:30 pm; Thursday, 8 am to 5:30 pm; Friday, 8 am to 12 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 5:30 pm. Hide open hours for the week","40.6695353","-111.8984875","+1 801-263-2002","4.6","161","Utah","jeffreypdavisautomotive.com"
"132 N 100 W, Kaysville, UT 84037, United States","Vera's Auto Repair","Auto repair shop","Kaysville","https://www.google.com/maps/place/Vera%27s+Auto+Repair/data=!4m7!3m6!1s0x87530358efc3ffc7:0x26086e21610645ba!8m2!3d41.0370112!4d-111.9395951!16s%2Fg%2F11dxkv9x01!19sChIJx__D71gDU4cRukUGYSFuCCY?authuser=0&hl=en&rclk=1","Tuesday, 9 am to 9 pm; Wednesday, 9 am to 9 pm; Thursday, 9 am to 9 pm; Friday, 9 am to 9 pm; Saturday, 9 am to 6 pm; Sunday, Closed; Monday, 9 am to 9 pm. Hide open hours for the week","41.0370112","-111.9395951","+1 801-628-9757","4.6","108","Utah","facebook.com"
"8584 S 700 E, Sandy, UT 84070, United States","JT Automotive","Auto repair shop","Sandy","https://www.google.com/maps/place/JT+Automotive/data=!4m7!3m6!1s0x87528aa3a20ae3c3:0xd9edfce14dd5488c!8m2!3d40.5952175!4d-111.8726487!16s%2Fg%2F1wtbvc8p!19sChIJw-MKoqOKUocRjEjVTeH87dk?authuser=0&hl=en&rclk=1","Tuesday, 8 am to 6 pm; Wednesday, 8 am to 6 pm; Thursday, 8 am to 6 pm; Friday, 8 am to 6 pm; Saturday, Closed; Sunday, Closed; Monday, 8 am to 6 pm. Hide open hours for the week","40.5952175","-111.8726487","+1 801-466-3763","4.7","197","Utah",
