"address","title","category","city","google_map_link","workhours","latitude","longitude","phone","avg_rating","rating_count","state","website"
"368 E 100 S, Salt Lake City, UT 84111, United States","Oquirrh Restaurant","American restaurant","Salt Lake City","https://www.google.com/maps/place/Oquirrh+Restaurant/data=!4m7!3m6!1s0x8752f54b19126d1b:0x6e6c801af153fd05!8m2!3d40.7669253!4d-111.8803379!16s%2Fg%2F11h5wp825z!19sChIJG20SGUv1UocRBf1T8RqAbG4?authuser=0&hl=en&rclk=1","Tuesday, 4:30 to 10 pm; Wednesday, 4:30 to 10 pm; Thursday, 4:30 to 10 pm; Friday, 4:30 to 10 pm; Saturday, 10 am to 2 pm, 4:30 to 10 pm; Sunday, 10 am to 2 pm, 4:30 to 10 pm; Monday, 4:30 to 10 pm. Hide open hours for the week","40.7669253","-111.8803379","+1 801-359-0426","4.6","616","Utah","oquirrhslc.com"
"3003 Thanksgiving Wy, Lehi, UT 84043, United States","Harvest Restaurant","American restaurant","Lehi","https://www.google.com/maps/place/Harvest+Restaurant/data=!4m7!3m6!1s0x87528020a278ab47:0x3f60ed7a97f5ad5b!8m2!3d40.4258611!4d-111.8872389!16s%2Fg%2F11h1424w6!19sChIJR6t4oiCAUocRW631l3rtYD8?authuser=0&hl=en&rclk=1","Tuesday, 11 am to 3 pm, 5 to 9 pm; Wednesday, 11 am to 3 pm, 5 to 9 pm; Thursday, 11 am to 3 pm, 5 to 9 pm; Friday, 11 am to 3 pm, 5 to 9 pm; Saturday, 5 to 9 pm; Sunday, Closed; Monday, 11 am to 3 pm, 5 to 9 pm. Hide open hours for the week",,"-111.8872389","+1 801-768-4990","4.4","1006","Utah","thanksgivingpoint.org"
"2832 E 6200 S, Salt Lake City, UT 84121, United States","Tuscany Restaurant","Fine dining restaurant","Holladay","https://www.google.com/maps/place/Tuscany+Restaurant/data=!4m7!3m6!1s0x875262549d09ed89:0x759b9b7d58f8f495!8m2!3d40.637945!4d-111.8115181!16s%2Fg%2F1w4562db!19sChIJie0JnVRiUocRlfT4WH2bm3U?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9 pm; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9:30 pm; Saturday, 5 to 9:30 pm; Sunday, 5 to 9 pm; Monday, 5 to 9 pm. Hide open hours for the week","40.637945","-111.8115181","+1 801-277-9919","4.5","1395","Utah","tuscanyslc.com"
"418 E 200 S, Salt Lake City, UT 84111, United States","HSL","American restaurant","Salt Lake City","https://www.google.com/maps/place/HSL/data=!4m7!3m6!1s0x8752f56d646be8bd:0x4aa5cfbbe1294105!8m2!3d40.764807!4d-111.87873!16s%2Fg%2F11cmd395yt!19sChIJvehrZG31UocRBUEp4bvPpUo?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9 pm; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 10 pm; Saturday, 5 to 10 pm; Sunday, Closed; Monday, 5 to 9 pm. Hide open hours for the week",,"-111.87873","+1 801-539-9999","4.6","862","Utah","hslrestaurant.com"
"321 US-6, Eureka, UT 84628, United States","Cast Iron Bistro","Restaurant","Eureka","https://www.google.com/maps/place/Cast+Iron+Bistro/data=!4m7!3m6!1s0x874d118bafab1f1d:0x938644831dbf1235!8m2!3d39.9538469!4d-112.1216606!16s%2Fg%2F11q2z3t26m!19sChIJHR-rr4sRTYcRNRK_HYNEhpM?authuser=0&hl=en&rclk=1","Tuesday, Closed; Wednesday, Closed; Thursday, Closed; Friday, 10 am to 7:30 pm; Saturday, 10 am to 2:30 pm; Sunday, Closed; Monday, Closed. Hide open hours for the week",,"-112.1216606","+1 435-433-2253","4.9","143","Utah","facebook.com"
"202 S Main St, Salt Lake City, UT 84101, United States","Bambara Salt Lake City","Restaurant","Salt Lake City","https://www.google.com/maps/place/Bambara+Salt+Lake+City/data=!4m7!3m6!1s0x8752f50f9ca50a81:0xdcb63473d52add1!8m2!3d40.7647555!4d-111.8914309!16s%2Fg%2F1th5_8jh!19sChIJgQqlnA_1UocR0a1SPUdjyw0?authuser=0&hl=en&rclk=1","Tuesday, 7 am to 2 pm, 5 to 9 pm; Wednesday, 7 am to 2 pm, 5 to 9 pm; Thursday, 7 am to 2 pm, 5 to 9 pm; Friday, 7 am to 2 pm, 5 to 10 pm; Saturday, 7 am to 2 pm, 5 to 10 pm; Sunday, 7 am to 2 pm, 5 to 9 pm; Monday, 7 am to 2 pm, 5 to 9 pm. Hide open hours for the week","40.7647555","-111.8914309","+1 801-363-5454","4.3","1104","Utah","bambara-slc.com"
"12234 Draper Gate Dr, Draper, UT 84020, United States","The Cliff Dining Pub","Gastropub","Draper","https://www.google.com/maps/place/The+Cliff+Dining+Pub/data=!4m7!3m6!1s0x8752876a161254c3:0xecf58fc5d817c9fb!8m2!3d40.528!4d-111.85294!16s%2Fg%2F12q4x1c8b!19sChIJw1QSFmqHUocR-8kX2MWP9ew?authuser=0&hl=en&rclk=1","Tuesday, 4 to 10 pm; Wednesday, 4 to 10 pm; Thursday, 4 to 10 pm; Friday, 4 to 11 pm; Saturday, 10 am to 11 pm; Sunday, 10 am to 9 pm; Monday, 4 to 10 pm. Hide open hours for the week","40.528","-111.85294","+1 801-523-2053","4.3","2173","Utah","cliffdiningpub.com"
"3330 N University Ave, Provo, UT 84604, United States","Block Restaurant","American restaurant","Provo","https://www.google.com/maps/place/Block+Restaurant/data=!4m7!3m6!1s0x874d907cf8cbbe71:0x5cc92fec9895eec8!8m2!3d40.2779107!4d-111.6570362!16s%2Fg%2F11h9rnbrkv!19sChIJcb7L-HyQTYcRyO6VmOwvyVw?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9 pm; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 2 pm; Monday, Closed. Hide open hours for the week","40.2779107","-111.6570362","+1 801-885-7558","4.5","922","Utah","blockrestaurantgroup.com"
"180 Center St, Orem, UT 84057, United States","Lomito's Restaurant","Latin American restaurant","Orem","https://www.google.com/maps/place/Lomito%27s+Restaurant/data=!4m7!3m6!1s0x874d9acfbf95bec3:0x35373bc81a20b5a9!8m2!3d40.2975221!4d-111.700201!16s%2Fg%2F1td5m592!19sChIJw76Vv8-aTYcRqbUgGsg7NzU?authuser=0&hl=en&rclk=1","Tuesday, 11:30 am to 8 pm; Wednesday, 11:30 am to 8 pm; Thursday, 11:30 am to 8 pm; Friday, 11:30 am to 8 pm; Saturday, 11:30 am to 8 pm; Sunday, Closed; Monday, 11:30 am to 8 pm. Hide open hours for the week","40.2975221","-111.700201","+1 801-607-1602","4.6","637","Utah","lomitosrestaurant.com"
"8841 N Alpine Lp Rd, Sundance, UT 84604, United States","The Foundry Grill at Sundance Resort","Grill","Provo","https://www.google.com/maps/place/The+Foundry+Grill+at+Sundance+Resort/data=!4m7!3m6!1s0x874d8ea4b59b053b:0x55e1cf07f5848769!8m2!3d40.3921451!4d-111.5791913!16s%2Fg%2F1tslk5yl!19sChIJOwWbtaSOTYcRaYeE9QfP4VU?authuser=0&hl=en&rclk=1","Tuesday, 8:30 to 10:30 am, 11:30 am to 3 pm, 5 to 9 pm; Wednesday, 8:30 to 10:30 am, 11:30 am to 3 pm, 5 to 9 pm; Thursday, 8:30 to 10:30 am, 11:30 am to 3 pm, 5 to 9 pm; Friday, 8:30 to 10:30 am, 11:30 am to 3 pm, 5 to 9 pm; Saturday, 8:30 to 10:30 am, 11:30 am to 3 pm, 5 to 9 pm; Sunday, 9 am to 2 pm, 5 to 9 pm; Monday, 8:30 to 10:30 am, 11:30 am to 3 pm, 5 to 9 pm. Hide open hours for the week","40.3921451","-111.5791913","+1 866-932-2295","4.3","1102","Utah","sundanceresort.com"
"987 W 500 N #101, American Fork, UT 84003, United States","Little India Fine Dining","Indian restaurant","American Fork","https://www.google.com/maps/place/Little+India+Fine+Dining/data=!4m7!3m6!1s0x874d81861c2cf3c5:0x2ae0a954cef463b4!8m2!3d40.3882266!4d-111.8242073!16s%2Fg%2F11qh2wrxgt!19sChIJxfMsHIaBTYcRtGP0zlSp4Co?authuser=0&hl=en&rclk=1","Tuesday, 4 to 9 pm; Wednesday, 4 to 9 pm; Thursday, 4 to 9 pm; Friday, 4 to 9 pm; Saturday, 4 to 9 pm; Sunday, Closed; Monday, 4 to 9 pm. Hide open hours for the week","40.3882266","-111.8242073","+1 801-756-8888","4.9","4402","Utah","littleindiaut.com"
"510 S 300 W #100, Salt Lake City, UT 84101, United States","Urban Hill","Restaurant","Salt Lake City","https://www.google.com/maps/place/Urban+Hill/data=!4m7!3m6!1s0x8752f52a908941ab:0xe40d5e620381ccbb!8m2!3d40.7581958!4d-111.9004448!16s%2Fg%2F11k3z9k93b!19sChIJq0GJkCr1UocRu8yBA2JeDeQ?authuser=0&hl=en&rclk=1","Tuesday, 5 to 9:30 pm; Wednesday, 5 to 9:30 pm; Thursday, 5 to 9:30 pm; Friday, 5 to 9:30 pm; Saturday, 10 am to 2 pm, 5 to 9:30 pm; Sunday, 10 am to 2 pm, 5 to 9 pm; Monday, 5 to 9:30 pm. Hide open hours for the week","40.7581958","-111.9004448","+1 385-295-4200","4.6","700","Utah","urban-hill.com"
"2477 Fort Union Blvd, Salt Lake City, UT 84121, United States","Carmine's Italian Restaurant","Italian restaurant","Cottonwood Heights","https://www.google.com/maps/place/Carmine%27s+Italian+Restaurant/data=!4m7!3m6!1s0x875262fa6406a7d1:0xb1e23d3d2a8b3a09!8m2!3d40.6249593!4d-111.8200403!16s%2Fg%2F11dz_2pcqc!19sChIJ0acGZPpiUocRCTqLKj094rE?authuser=0&hl=en&rclk=1",,"40.6249593","-111.8200403","+1 801-948-4468","4.4","877","Utah","carmines.restaurant"
"234 W 900 S, Salt Lake City, UT 84101, United States","Vertical Diner","Vegan restaurant","Salt Lake City","https://www.google.com/maps/place/Vertical+Diner/data=!4m7!3m6!1s0x8752f56c5257505b:0x3d5a765e5d1be4b5!8m2!3d40.7499921!4d-111.8978697!16s%2Fg%2F1tnjk15h!19sChIJW1BXUmz1UocRteQbXV52Wj0?authuser=0&hl=en&rclk=1",,"40.7499921","-111.8978697","+1 801-484-8378","4.5","3281","Utah","verticaldiner.com"
"68 W 3900 S, Salt Lake City, UT 84107, United States","Left Fork Grill","American restaurant","South Salt Lake","https://www.google.com/maps/place/Left+Fork+Grill/data=!4m7!3m6!1s0x87528a507da1777b:0xaaa259b225d3a0fd!8m2!3d40.6873282!4d-111.8930103!16s%2Fg%2F1tdgkr66!19sChIJe3ehfVCKUocR_aDTJbJZoqo?authuser=0&hl=en&rclk=1","Tuesday, 7 am to 3 pm; Wednesday, 7 am to 8 pm; Thursday, 7 am to 8 pm; Friday, 7 am to 8 pm; Saturday, 7 am to 8 pm; Sunday, 7 am to 3 pm; Monday, 7 am to 3 pm. Hide open hours for the week","40.6873282","-111.8930103","+1 801-266-4322","4.4","1862","Utah","leftforkgrillslc.com"
"102 N University Ave, Provo, UT 84601, United States","Communal","American restaurant","Provo","https://www.google.com/maps/place/Communal/data=!4m7!3m6!1s0x874d975347fdadc1:0x76636a86d0370462!8m2!3d40.2352417!4d-111.6583861!16s%2Fg%2F1td5glv1!19sChIJwa39R1OXTYcRYgQ30IZqY3Y?authuser=0&hl=en&rclk=1",,"40.2352417","-111.6583861","+1 801-373-8000","4.4","1331","Utah","communalrestaurant.com"
"1223 U.S. Hwy 40, Heber City, UT 84032, United States","Back 40 Ranch House Grill","Restaurant","Heber City","https://www.google.com/maps/place/Back+40+Ranch+House+Grill/data=!4m7!3m6!1s0x87520a76b7a052f1:0xaefde1249a539fd5!8m2!3d40.5220444!4d-111.4112398!16s%2Fg%2F11by_plh84!19sChIJ8VKgt3YKUocR1Z9TmiTh_a4?authuser=0&hl=en&rclk=1","Tuesday, 11 am to 3:30 pm, 4:30 to 10 pm; Wednesday, 11 am to 3:30 pm, 4:30 to 10 pm; Thursday, 11 am to 3:30 pm, 4:30 to 10 pm; Friday, 11 am to 3:30 pm, 4:30 to 10 pm; Saturday, 11 am to 3:30 pm, 4:30 to 10 pm; Sunday, 10 am to 3:30 pm, 4:30 to 10 pm; Monday, 11 am to 3:30 pm, 4:30 to 10 pm. Hide open hours for the week",,"-111.4112398","+1 435-654-3070","4.6","2052","Utah","back40utah.com"
"1355 E 2100 S, Salt Lake City, UT 84105, United States","The Dodo Restaurant","Restaurant","Salt Lake City","https://www.google.com/maps/place/The+Dodo+Restaurant/data=!4m7!3m6!1s0x8752601ebc78f39d:0x2d4396deb77610d1!8m2!3d40.7261306!4d-111.8520806!16s%2Fg%2F1vs5x5_t!19sChIJnfN4vB5gUocR0RB2t96WQy0?authuser=0&hl=en&rclk=1",,"40.7261306","-111.8520806","+1 801-486-2473","4.4","3700","Utah","thedodorestaurant.com"
"2020 E 3300 S, Salt Lake City, UT 84109, United States","Antica Sicilia","Italian restaurant","Millcreek","https://www.google.com/maps/place/Antica+Sicilia/data=!4m7!3m6!1s0x875261b62a490bf3:0x9ab62e57babd38c5!8m2!3d40.6994925!4d-111.8329873!16s%2Fg%2F11g6vlc6kz!19sChIJ8wtJKrZhUocRxTi9ulcutpo?authuser=0&hl=en&rclk=1","Tuesday, 4:30 to 9:30 pm; Wednesday, 4:30 to 9:30 pm; Thursday, 4:30 to 9:30 pm; Friday, 4:30 to 10 pm; Saturday, 4:30 to 10 pm; Sunday, Closed; Monday, 4:30 to 9:30 pm. Hide open hours for the week","40.6994925","-111.8329873","+1 385-202-7236","4.6","1209","Utah","anticasiciliautah.com"
"645 S State St, Salt Lake City, UT 84111, United States","The Bayou","Cajun restaurant","Salt Lake City","https://www.google.com/maps/place/The+Bayou/data=!4m7!3m6!1s0x8752f5166a6e2a4b:0x521db3f6bd2f9980!8m2!3d40.755129!4d-111.887763!16s%2Fg%2F1td3rzsr!19sChIJSypuahb1UocRgJkvvfazHVI?authuser=0&hl=en&rclk=1",,"40.755129","-111.887763","+1 801-961-8400","4.6","3725","Utah","utahbayou.com"
"4801 N University Ave #610, Provo, UT 84604, United States","La Jolla Groves","New American restaurant","Provo","https://www.google.com/maps/place/La+Jolla+Groves/data=!4m7!3m6!1s0x874d900c27a3edf7:0xe680091a342dcb86!8m2!3d40.2992077!4d-111.6580963!16s%2Fg%2F1w34729z!19sChIJ9-2jJwyQTYcRhsstNBoJgOY?authuser=0&hl=en&rclk=1",,"40.2992077","-111.6580963","+1 801-224-5111","4.2","1298","Utah","lajollagroves.com"
"75 S W Temple St, Salt Lake City, UT 84101, United States","Salt Stone","American restaurant","Salt Lake City","https://www.google.com/maps/place/Salt+Stone/data=!4m7!3m6!1s0x8752f50605335799:0x49693cd2470c7322!8m2!3d40.7675747!4d-111.8930178!16s%2Fg%2F11cn3jc7fb!19sChIJmVczBQb1UocRInMMR9I8aUk?authuser=0&hl=en&rclk=1","Tuesday, 6:30 am to 1 pm, 5 to 9 pm; Wednesday, 6:30 am to 1 pm, 5 to 9 pm; Thursday, 6:30 am to 1 pm, 5 to 9 pm; Friday, 6:30 am to 1 pm, 5 to 9 pm; Saturday, 6:30 am to 1 pm, 5 to 9 pm; Sunday, 6:30 am to 1 pm, 5 to 9 pm; Monday, 6:30 am to 1 pm, 5 to 9 pm. Hide open hours for the week","40.7675747","-111.8930178","+1 801-537-6023","3.8","135","Utah","marriott.com"
"62 E Gallivan Ave, Salt Lake City, UT 84111, United States","From Scratch","American restaurant","Salt Lake City","https://www.google.com/maps/place/From+Scratch/data=!4m7!3m6!1s0x8752f50e2cf97c63:0x1a32619cc04c7f79!8m2!3d40.7634979!4d-111.8893718!16s%2Fg%2F1ptxhbtld!19sChIJY3z5LA71UocReX9MwJxhMho?authuser=0&hl=en&rclk=1","Tuesday, 11 am to 9 pm; Wednesday, 11 am to 9 pm; Thursday, 11 am to 9 pm; Friday, 11 am to 10 pm; Saturday, 12 to 10 pm; Sunday, Closed; Monday, 11 am to 9 pm. Hide open hours for the week",,"-111.8893718","+1 801-961-9000","4.3","1560","Utah","fromscratchslc.com"
"170 S W Temple St, Salt Lake City, UT 84101, United States","The Salt Republic","American restaurant","Salt Lake City","https://www.google.com/maps/place/The+Salt+Republic/data=!4m7!3m6!1s0x8752f5da71b09d53:0xb2976ba435f2ba2c!8m2!3d40.7656736!4d-111.8943304!16s%2Fg%2F11ssfgg2sd!19sChIJU52wcdr1UocRLLryNaRrl7I?authuser=0&hl=en&rclk=1","Tuesday, 6:30 am to 2 pm, 5 to 10 pm; Wednesday, 6:30 am to 2 pm, 5 to 10 pm; Thursday, 6:30 am to 2 pm, 5 to 10 pm; Friday, 6:30 am to 2 pm, 5 to 10 pm; Saturday, 6:30 am to 2 pm, 5 to 10 pm; Sunday, 6:30 am to 2 pm, 5 to 10 pm; Monday, 6:30 am to 2 pm, 5 to 10 pm. Hide open hours for the week","40.7656736","-111.8943304",,"4.0","67","Utah","hyatt.com"
"877 E 12300 S #203, Draper, UT 84020, United States","Sauce Boss Southern Kitchen DraperUT","Restaurant","Draper","https://www.google.com/maps/place/Sauce+Boss+Southern+Kitchen+DraperUT/data=!4m7!3m6!1s0x87528796af77ba79:0x617573885814a5b9!8m2!3d40.5272616!4d-111.8669977!16s%2Fg%2F11h77z8f43!19sChIJebp3r5aHUocRuaUUWIhzdWE?authuser=0&hl=en&rclk=1","Tuesday, 4 to 8 pm; Wednesday, 4 to 8 pm; Thursday, 4 to 8 pm; Friday, 12 to 3 pm, 5 to 9 pm; Saturday, 12 to 3 pm, 5 to 9 pm; Sunday, Closed; Monday, Closed. Hide open hours for the week","40.5272616","-111.8669977","+1 385-434-2433","4.8","1437","Utah","saucebosssouthernkitchen.com"
"1458 Foothill Dr, Salt Lake City, UT 84108, United States","Five Alls restaurant","Restaurant","Salt Lake City","https://www.google.com/maps/place/Five+Alls+restaurant/data=!4m7!3m6!1s0x87526071ccfff509:0x719cd11b4508b814!8m2!3d40.7379542!4d-111.8246171!16s%2Fg%2F1tfk4xrh!19sChIJCfX_zHFgUocRFLgIRRvRnHE?authuser=0&hl=en&rclk=1","Tuesday, Closed; Wednesday, 5 to 9 pm; Thursday, 5 to 9 pm; Friday, 5 to 9 pm; Saturday, 5 to 9 pm; Sunday, Closed; Monday, Closed. Hide open hours for the week",,"-111.8246171","+1 385-528-1922","4.3","284","Utah","fiveallsfinedining.com"
"10 UT-12, Boulder, UT 84716, United States","Burr Trail Grill","American restaurant","Boulder","https://www.google.com/maps/place/Burr+Trail+Grill/data=!4m7!3m6!1s0x87356e685d1979a1:0xcf09f9761cb9f2d1!8m2!3d37.9014151!4d-111.4245069!16s%2Fg%2F1hc4bgnlr!19sChIJoXkZXWhuNYcR0fK5HHb5Cc8?authuser=0&hl=en&rclk=1","Tuesday, 11 am to 6 pm; Wednesday, 11 am to 6 pm; Thursday, 11 am to 2:30 pm; Friday, Closed; Saturday, 11 am to 6:30 pm; Sunday, 11 am to 6:30 pm; Monday, 11 am to 6 pm. Hide open hours for the week",,"-111.4245069","+1 435-335-7511","4.7","916","Utah","burrtrailgrill.life"
"4160 Emigration Canyon Rd, Emigration Canyon, UT 84108, United States","Ruth's Diner","Diner","Emigration Canyon","https://www.google.com/maps/place/Ruth%27s+Diner/data=!4m7!3m6!1s0x87525e19420bcd35:0x94255ff71c36cb3a!8m2!3d40.7617707!4d-111.7806099!16s%2Fg%2F1ym82my5k!19sChIJNc0LQhleUocROss2HPdfJZQ?authuser=0&hl=en&rclk=1","Tuesday, Closed; Wednesday, Closed; Thursday, 8 am to 9 pm; Friday, 8 am to 10 pm; Saturday, 8 am to 10 pm; Sunday, 8 am to 9 pm; Monday, 8 am to 9 pm. Hide open hours for the week",,"-111.7806099","+1 801-582-5807","4.6","5511","Utah","ruthsdiner.com"
"1446 S State St, Salt Lake City, UT 84115, United States","The 14 peaks","Restaurant","Salt Lake City","https://www.google.com/maps/place/The+14+peaks/data=!4m7!3m6!1s0x8752f5fafc75a861:0x2067dcdaa6cbebba!8m2!3d40.7381935!4d-111.8885969!16s%2Fg%2F11vwdsq9nb!19sChIJYah1_Pr1UocRuuvLptrcZyA?authuser=0&hl=en&rclk=1",,,"-111.8885969","+1 801-485-1646","4.9","951","Utah","the14peaksrestaurant.com"
